index_id	category	text
797	technology	ག་དེ་ཅིག་འབད་ ལེབ་ཊོབ་དང་ཡང་ན་ ཊེབ་ལེཌ་ཚུ་འབག་སྟེ་རྒྱུན་འགྲུལ་འཐབ་པ་ཅིན་ འདྲ་གཅིག་ གསོག་འཇོག་དང་སྒོར་ལེབ་ནང་ལུ་ བདག་འཛིན་འབད་བཞག་དགོ(ཨིན་ཊར་ནེཊ་མེད་རུང་ ཐོབ་ཚུགས)
830	travel	ས་མཚམས་བདའ་སྟེ་འགྱོ་མི་ རེ་ལི་ནང་ རེ་ལི་འདི་འགྱོ་སྡོད་པའི་བར་ན་རང་ ཞིབ་དཔྱད་ཚུ་འབད་ནི་འདི་གིས་ དེ་བཟུམ་མའི་རེ་ལི་ནང་འཛུལཝ་ད་ རང་དང་གཅིག་ཁར་ ཆ་གནས་ཡོད་པའི་མི་ཁུངས་ངོ་སྤྲོད་ལག་ཁྱེར་འབག་དགོཔ་འདི་གལ་ཆེ།
150	business	དངུལ་ཁང་འདི་ གཞུང་གིས་རྩིས་མ་ལེན་པའི་ཧེ་མ་ ཝར་ཇེན་ཚོང་འབྲེལ་སྡེ་ཚན་གྱི་ཇོ་བདག་ སཱར་རི་ཅརཊ་བེ་རཱན་སཱན་གྱིས་ ཁས་ལེན་གནས་གོང་བཀོད་མི་འདི་ ཆ་མེད་སོང་ནུག
1806	travel	གླངམོ་ཆེ་དང་ སྐེ་རིང་རྟ་བཟུམ་གྱི་སེམས་ཅན་ཚུ་གིས་ སྣུམ་འཁོར་གྱི་སྦོ་ལོགས་ཁར་འོང་དོ་ཡོད་རུང་ གནས་ཚད་དང་ལྡན་པའི་ཅ་ཆས་ཚུ་ལས་བརྟེན་ཏེ་ ལེགས་ཤོམ་སྦེ་ བལྟ་ཚུགས་དོ་ཡོདཔ་ཨིན་མས།
902	disasters	ཀྲོར་ན་གྲོ་ཟེར་མི་འདི་ རླུང་མ་འཐོན་འཛུལ་འབད་མི་ཚུ་འཇོམས་བཏང་མི་ཨིན་མས།
1225	sports	སེཊ་གཉིས་པའི་ནང་ འགོ་དང་པ་ཚར་ཅིག་ དྲེན་པོ་ཀྲོརོ་ ཕན་སྟབས་སྡོད་ཡོདཔ་ཨིན་རུང་ འདི་ནང་ལུ་ཡང་ གཉིས་ཆ་ར་ ༦-༦ ལུ་ལྷོད་དེ་སྦེ་ ཀྲའི་བཱེརག་རྐྱབ་དགོཔ་ཐོན་ཡོདཔ་ཨིན།
1342	science	རྫས་སྦྱོར་གྱི་ སྐྱུར་རྫས་ཡང་ན་ སྐྱུར་ནུས་འཇོམས་རྫས་ ག་དེམ་ཅིག་ཨིན་ན་དང་འཁྲིལ་ཏེ་ འདབ་མ་ཀོ་པའི་ཤིང་ཁུ་གིས་ ཚོས་གཞི་འདི་བསྒྱུརཝ་ཨིན།
1959	nature	པིལིཏ་ཝིསི་མཚོ་གི་ རྒྱལ་ཡོངས་གླིང་ག་འདི་ ནགས་ཚལ་གྱིས་ཁྱབ་སྟེ་ཡོདཔ་ད་ ཤིང་རིགས་ཡང་ ཚ་ཚི་ཤིང་དང་ ནགས་ཤིང་ དེ་ལས་ གདུང་ཤིང་ཚུ་ཡོདཔ་མ་ཚད་ གླིང་ག་འདི་ནང་ ཨཱལ་པ་ཡཱན་དང་ མེ་ཌི་ཊེ་རེ་ནི་ཡཱན་གྱི་སྔོ་ཤིང་ཚུ་ཡང་ མཐོང་ཚུགས་དོ་ཡོདཔ་མས།
341	business	"རྒྱལ་སྤྱིའི་མ་དངུལ་གྱི་གནས་སྟངས་ཐད་ཁར་ ཟ་པཱ་ཀརོ་རོ་གིས་ ""མ་དངུལ་གྱི་ལམ་ལུགས་འདི་ དཔལ་འབྱོར་གྱི་ཆ་ཤས་ གལ་ཅན་ཅིག་ཨིན་ཟེར་སླབ་ནུག།"
352	science	ལྟག་ལས་ཀྱི་སྒྲིམ་པ་འདི་ཡང་  ཁོ་རའི་ཐོག་ཁར་ཡོད་མི་ རླུང་གི་རྡུལ་རྟེན་བ་ལྷགཔ་སྦེ་ ཆུའི་ཐོག་ཁར་ཡོད་པའི་ རྡུལ་རྟེན་འདི་ཚུ་ལུ་ ཤུགས་སྦེ་རང་འདུ་ནི་འདི་གིས་ཨིན།
