index_id	category	text
797	technology	လပ်တော့ပ် သို့မဟုတ် တက်ဘလက်ဖြင့် ခရီးသွားပါက မိတ္တူတစ်ခုကို ၎င်း၏ မမ်မိုရီ သို့မဟုတ် ဒစ်စ်အတွင်း သိမ်းဆည်းထားပါ (အင်တာနက်မရှိဘဲ အသုံးပြုနိုင်)။
830	travel	နယ်စပ်ဖြတ်ကျော်ဂိတ်အချို့တွင် ရထား စစ်ဆေးမှုများကို မောင်းနှင်နေရင်းပင် စစ်ဆေးသောကြောင်း ယင်းရထားများ စီးနင်းနေချိန်တွင် စီးနင်းခွင့်ကတ်ကို သင့် ID နှင့်အတူ ကိုင်ထားရမည်။
150	business	စရီရစ်ချက်တ်ဘရန်စွန် ၏ Virgin Group ထံတွင် ဘဏ်အား နိုင်ငံပိုင်မပြုလုပ်မီ ဘဏ်မှ ငြင်းပယ်မှုတစ်ခုရှိခဲ့သည်။
1806	travel	ဆင်များနှင့် သစ်ကုလားအုတ်များကဲ့သို့ အချို့တိရိစ္ဆာန်များက ကားများနှင့်အဆင့်မီကိရိယာပစ္စည်း အနားသို့ နီးကပ်စွာ ချဉ်းကပ်ခြင်းကြောင့်  ကောင်းကောင်း ကြည့်ရှုနိုင်သည်။
902	disasters	"""""""လေဆင်နှာမောင်းသည် အလွန်ဖိအားနည်း၍ လည်နေသည့် လေတိုင်တစ်ခု ဖြစ်ပြီး ၎င်းမှ အနီးဝန်းကျင် လေကို အတွင်းထဲနှင့် အပေါ်ဘက်သို့ စုပ်ယူခြင်းဖြစ်သည်။"""""""
1225	sports	ဒုတိယပိုင်းတွင် ဒဲလ်ပိုထရိုက အသာစီးရခဲ့ပေမယ့် ၆-၆ ဖြစ်ပြီးနောက် ပွဲမှာ သရေဖြင့် အဆုံးသတ်ခဲ့ရသည်။
1342	science	ဂေါ်ဖီရည်သည် အက်ဆစ် သို့မဟုတ် ပင်ကို (အယ်လ်ကာလိုင်း) ဓာတုပစ္စည်း၏ အနေအထားအပေါ် မူတည်၍ အရောင်ပြောင်းလဲပါသည်။
1959	nature	ပလစ်ဗိုက်လိတ်ခ် အမျိုးသားဥယျာဉ်ကြီးသည် သစ်ပင်ကြီးများ၊ ထင်းရှူးပင်ကြီးများနှင့် ထင်းရှူးပင်ငယ်များ ပေါများစွာရှိသည့် တောအုပ်ကြီးဖြစ်ပြီး တောင်မြင့်ပင်များနှင့် မြေထဲပင်လယ်ဒေသ အပင်ငယ်များလည်း ရောနှောပေါက်ရောက်နေပါသည်။
341	business	"""ကမ္ဘာလုံးဆိုင်ရာ ငွေကြေးအခြေအနေနှင့် စပ်လျဉ်း၍ ဇာပါတီရိုသည် """"ငွေကြေးစနစ်မှာ စီးပွားရေး၏ အရေးပါသော အစိတ်အပိုင်းဖြစ်သည်"""" ဟု ဆက်လက်ပြောကြားခဲ့သည်။"""
352	science	မျက်နှာပြင်ဖိအားဖြစ်ပေါ်ရခြင်းမှာ ရေမျက်နှာပြင်တွင် ရေမာ်လီကျူးများသည် ၎င်းတို့အထက်ရှိ လေမော်လီကျူးများထက် တစ်ခုနှင့် တစ်ခု ပိုမို ဆွဲဆောင်သောကြောင့်ဖြစ်သည်။
