index_id	category	text
797	technology	Idan kuna tafiya tare da naurar kwamfutar tafi-da-gidanka ko kwamfutar hannu, adana kwafi a cikin ƙwaƙwalwar ajiya ko faifai (mai sauƙi ba tare da yanar gizo ba).
830	travel	A wasu jiragen kasa masu duban kan iyaka ana gudanar da bincike ne a yayin da jirgin ke tafiya kuma lallai ne ya zama kana da Katin Shaida lokacin da za ka shiga daya daga cikin irin wadannan jiragen.
150	business	Ɓirgin Grouƙ na Sir Richard Branson ya yi tayin sayen bankin da aka ƙi amincewa kafin bankin ya zama na kasa.
1806	travel	Wasu dabbobi, kamar giwaye da raƙuman dawa, su kan je kusa da motoci kuma na’ura mai kyau za ta ba da damar kallo sosai.
902	disasters	Mahaukaciyar guguwa kamar wani sunduki ne me jujjuyawa wanda ke kunshe da iska mai nauyi wadda ke zukar sauran iska da ke gefenta daga kasa ya yi sama.
1225	sports	Del Potro ya samu riba a sa na biyu, amma wannan shima na bukatan tie break bayan an kai 6-6.
1342	science	Lemun kabeji na canza launin bisa yanayin yawan acid ko alkaline din ma’adanin.
1959	nature	Tafkunan Plitvice na wajen shakatawa yana da wani surkukin daji, galibi da kamannin bishiyoyin fir da na kudan zuma da kuma hadin wanda ya shafi manyan tsaunuka da duwatsu tare da ciyaye na Rum.
341	business	Game da yanayin hada-hadar kudi a duniya, Zapatero ya ci gaba da cewa “tsarin kudi wani bangare ne na tattalin arziki, kuma mai matukar muhimmanci.
352	science	Kumburin ruwa na faruwa ne saboda kananan kwayoyin cikin ruwa a farfajiyan ruwan suna matuƙar jhaɗuwa da juna saɓanin yadda suke kankananan kwayoyi na iska a da ke samansu.
448	nature	Kowace shekara a watan Oktoba kusan dabbobi masu cin ciyawa miliyan 1.5 suke tafiya zuwa tuddan kudu, suna ƙetare Kogin Mara, daga tuddan arewa don ruwan sama.
386	politics	Sarki Sajong shi ne sarki na huɗu a Daular Joseon kuma ɗaya daga cikin waɗanda aka fi ji da su.
1438	religion	Babban cibiyar shugabancin coci ta kasance a Roma sama da dubban shekaru kuma mayar da arziki da mulki can ya jawo cece-kuce game da ko ana bin wannan shikashikin.
394	politics	Amma Rundunar Sojojin ruwa na Sarauta na da ƙarfi sosai fiye da rundunar sojojin ruwan Jamus (“Kriegsmarine”) kuma da ya salwantar da duk wani mamayewar jirgin ruwan da aka aika ƙetaren hanyar ruwan Ingila.
1977	education	A bayyane take, idan ka san yaren Romance, zai yi sauki maka ka koyi Portuguese.
1719	nature	Wurin Shakatawar Ƙasa na Kruger (KNP) yana yankin arewa maso gabas na Afirka ta Kudu inda ya miƙa ta jikin iyakar oasar Mozambique a gabas, Zimbabwe a arewa, kuma a iyakar da ke Ƙoramar Kada ce.
29	crime	An kone kurkukun Abu Ghraib na Iraq lokacin hargitsi.
845	entertainment	Duk da haka, a zamanin yau akwai ingantattun masu fasahar zane, abubuwan zane-zane da kuma “bangon shari'a” zanen. Graffiti a cikin wannan mahallin yawanci suna kama da ayyukan adabi maimakon alamun haramun.
165	crime	Maharan birnin Mumbai din sun shigo ne ta wani karamin jirgin ruwa ranar 26 ga watan Nuwamban 2008, an kawo musu gurnet-gurnet da makamai masu sarrafa kansu inda suka hari tashar jiragen kasa mai matukar dandazon jama’a ta Chhatrapati Shivaji da kuma shahararren ginin Otel din nan na Taj Mahal.
261	business	A baya Najeriya ta sanar da shirinta na shiga cikin AfCFTA a cikin makon da ya gabata gabanin taron.
531	sports	An buga ramuka goma sha takwas yayin zagaye na yau da kullun, tare da yan wasa galibi suna farawa akan rami na farko akan kwas ɗin kuma suna gamawa a ranar goma sha takwas.
1599	nature	Maye gurbi zai iya samun bambancin nau'ikan sakamako iri daban-daban dangane da nau'in maye gurbi, mahimmancin yanki na kayan gado ya shafa kuma ko kwayoyin halita da abin ya shafa sune kwayoyin halita.
428	geography	Faɗin ƙasar Turkiyya ya kai tsawon kilomita 1,600 (mil 1,000) da kuma faɗin kilomita 800 (mil 500), mai shatin kusurwoyi guda huɗu.
1206	health	Hamilton ya tabbatar da Asibitin Jami'ar Howard ya ba da haƙuri a cikin kwanciyar hankali.
277	politics	Tsohon gwamnan Massachusetts Mitt Romney ya lashe zaɓen fitar da gwani na ɗan takarar shugaban ƙasa na Jam’iyyar Republican a ranar Talata da kashi 46 na kuri’un.
2	disasters	Jirgin JAS 39C Gripen ya fado a kan hanyar jirgi da misalin karfe 9:30 na safe lokacin kasa (UTC 0230) kuma ya fashe, wanda ya haddasa rufe filin jirgin saman jiragen kasuwanci.
719	geography	Jamhuriyar Dominican (Da Sifaniyanci: República Dominicana) ƙasa ce da ke yankin Caribbean da ta kunshi rabin gabashin tsibirin Hispaniola, wanda su ka yi tarayya da kasar Haiti a cikinsaa
324	geography	Guguwar, da ke da nisan kimanin mil 3,000 daga Miami ta Florida, na tare da iska da ke gudun mil 40 a awa guda (64 kph).
15	business	“Panama Papers” wata laima ce wadda ta kunshi takardu sama da miliyan goma na wani kamfanin lauyoyi na Panama, Mossack Fonseca, da aka tseguntawa yan jarida a shekarar 2016.
13	sports	Nadal ya sami makuna 88% a wasan wanda ya ci makuna 76 a karo na farko.
1276	crime	Wadanda ake zargin sun hada da Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar da Vishnu Kanjar.
37	entertainment	Shirin PBS ya ci lambobin yabo kimanin dozin biyu na Emmy, ya kuma kasance kawai a bayan shirin Sesame Street da Shirin Mister Rogers Neighborhood wajen dadewa ana yinsa.
1192	health	An ɗauki mai ɗaukar hoto zuwa Cibiyar Kiwon Lafiya ta UCLA ta Ronald Reagan, idan daga baya ya mutu.
1239	entertainment	“Tana da kyau sannan tana waka da kyau, kuma,” ya bayana bisa ga kwafi na taron masu yada labaru.
373	science	Ta yaya ne nauyin lo zai ja ni? Idan ku ka tsaya a farfajiyan Io, nauyin ku ba zai kai nauyin ku na kan duniyarmu ba.
42	disasters	Guguwar na nisan kimanin mil 645 (kilomita 1040) a yamma da tsibirin Cape Verde, ana tsammanin za ta washe kafin ta kai doron kasa inji masu hasashen yanayi.
1780	travel	Yawancin tafiye-tafiye zuwa kasan ana yin su duka shekara, kuma raunin da ya auku dalilin kowane dayan daga cikin wadannan sabubba na karkashin ruwa na da karanci.
533	sports	Akan buga wasan ne a kan ciyawa, inda a ke sassabe ciyawar da ke zagayen ramin wanda a ke kira kore.
167	politics	Harin ya kawo tsamin dangantaka tsakanin India da Pakistan.
57	crime	A cewar Ansa, “yan sanda sun damu saboda wasu manyan matakan bugu wadda suke tsoro na iya tartasa babban yaki na farkewa.
1264	politics	Huhne ya yi murabus kuma za a maye gurbinsa a Majalisar da Dan Majalisa Ed Davey. Ana tsammanin Dan Majalisa Norman Lamb zai zama Ministan Kasuwanci aikin da Job Davey zai ajiye.
460	entertainment	Yawancin telebijin ana yin su ne ta hanyar da za ta faranta wa jama'a rai.
1911	education	Wannan ya shahara musamman ga masu tsallake-tsallake a makaranta, suna basu damar ɗaukar shekara guda kafin jami'a, ba tare da lalata karatunsu ba.
1631	religion	Dukkan al’ummar Fadar Vatican ‘yan Dariƙar Katolika ne.
1997	religion	Tabbas da akwai bayanai daga koyarwar addinin Kirista kan wannan al’adar, amma dai yana iya kasancewa Shekaru ne gabanin bayyanar Kiristanci.
142	sports	Hukuncin da hukumar NBA ta yanke ya biyo bayan gwajin da ya tabbatar da cewa dan wasan Jazz na Utah na dauke da kwayar cutar Covid-19.
197	health	Yanayin jikin shugaban ya daidaita, sai dai za a killace shi a gida na kwanaki da dama.
107	geography	Idan kwayar ta zo Duniya kuma ta shiga sararin samaniya, kimanin karfe 5 na safe(lokacin gabas), ana tsamanin ya sa haske sosai don goyon bayan mutane da ke Arewancin California, Oregon, Nevada, da Utah.
295	health	Jirage masu saukar ungulu sun ceci ma'aikata goma sha biyu babu wani rauni sai dai karyewar hanci.
342	business	Mun sami rigicin rashin kuɗi na tsawon shekara guda, wanda ya tsananta matuka a cikin watanni biyu da suka gabata, kuma ina tsammanin yanzu kasuwannin sha’anin kuɗi sun fara murmurewa.”
365	technology	Wannan saboda wutan lantarki da ke shigan socket a inda karfe na jikin kwan fitila ke zaune na iya baka rawar jiki mai tsanani idan ka taba cikin socket ko karfe na kwan fitilan yayinda yake hade da socket.
268	crime	Wannan shi ne karo na farko da aka samu yanke hukunci ta amfani da dokar da aka zartar a 2003 don dakatar da imel mai yawa, ko spam, daga rarraba ba a cikin akwatin imel masu amfani.
426	education	Charles shi ne memba na farko cikin dangin Sarauta na Burtaniya da aka ba shi digiri.
