index_id	category	text
797	technology	Ако патувате со лаптоп или таблет, зачувајте копија во меморијата или дискот (достапен без интернет).
830	travel	Во некои прекугранични возови се вршат проверки за време на патувањето и треба да имате валидна идентификација кога се качувате на таков воз.
150	business	Групацијата Вирџин на сер Ричард Бренсон одбила понуда за банката пред нејзината национализација.
1806	travel	Некои животни, како слоновите и жирафите, имаат тенденција поблиску да им приоѓаат на возилата, така што и стандардната опрема овозможува добар поглед.
902	disasters	Торнадото е вртлив столб од воздух со исклучително низок притисок што го вшмукува околниот воздух навнатре и нагоре.
1225	sports	Дел Потро имаше рана предност во вториот сет, но и за тоа беше потребна разврска по достигнување на резултат од 6-6.
1342	science	Сокот од зелка ја менува бојата во зависност од киселоста или базноста (алкалноста) на хемикалијата.
1959	nature	Националниот парк „Плитвички езера“ изобилува со пошумени предели, главно од букa, смрека и ела и се одликува со мешавина од алпска и медитеранска вегетација.
341	business	Во однос на глобалната финансиска ситуација, Запатеро продолжи, велејќи дека, „финансискиот систем е дел од економијата, суштински дел.
352	science	Површински притисок настанува бидејќи молекулите на водата на површината на водата силно се привлекуваат едни со други, многу повеќе отколку што е тоа случајот со молекулите на воздухот над нив.
448	nature	Секоја година, кон октомври, околу 1,5 милиони хербивори патуваат кон јужните падини, преминувајќи ја реката Мара, од северните ридови поради дождовите.
386	politics	Кралот Сеџонг бил четврти крал на динасијата Џосеон и е еден од најценетите кралеви.
1438	religion	Централната власт на црквата е лоцирана во Рим преку илјада години, а таквата концентрација на моќта и парите предизвикала многумина да се прашуваат дали се исполнети начелата.
394	politics	"""Но, Кралската морнарица и понатаму била посилна од Германската морнарица („Kriegsmarine"""") и ќе можела да ја уништи која било инвазиска флота испратена по Англискиот Канал."""
1977	education	Мора да се истакне дека ако знаете некој романски јазик, полесно ќе научите португалски.
1719	nature	Националниот парк Кругер (НПК) се наоѓа во североисточниот дел на Јужноафриканската Република и се протега долж границата со Мозамбик на исток, Зимбабве на север, а јужната граница е Крокодилската река.
29	crime	Ирачкиот затвор „Абу Граиб“ бил запален за време на бунт.
845	entertainment	Сепак, денес има познати уметници на графити, настани за графити и „легални“ ѕидови. Сликите со графити во овој контекст често личат на уметнички дела наместо на нечитливи ознаки.
165	crime	Напаѓачите од Мумбај пристигнале со брод на 26 ноември 2008 г., а со себе носеле гранати, автоматско оружје и погодиле неколку цели меѓу кои и преполната железничка станица Чатрапати Шиваџи Терминус и познатиот хотел Таџ Махал.
261	business	Нигерија претходно најави дека планира да стане дел од Африканската континентална зона на слободна трговија во неделата пред самитот.
531	sports	При регуларна рунда се играат осумнаесет дупки, каде играчите обично почнуваат од првата дупка на теренот и завршуваат на осумнаесеттата.
1599	nature	Мутациите можат да имаат различни ефекти во зависност од видот на мутацијата, значајноста на засегнатиот генетски материјал и тоа дали засегнатите клетки се полови клетки.
428	geography	Територијата на Турција е долга повеќе од 1.600 километри (1.000 mi), а широка 800 km (500 mi), со груба правоаголна форма.
1206	health	Хамилтон потврди дека пациентот е примен во универзитетската болница „Хауард“ во стабилна состојба.
277	politics	Поранешниот градоначалник на Масачусетс Мит Ромни победи на примарните претседателски избори за Републиканската партија во вторникот со над 46 проценти од гласовите.
2	disasters	JAS 39C Грипен се сруши на писта околу 9:30 am по локално време (2:30 UTC) и експлодираше, поради што аеродромот е затворен за комерцијални летови.
719	geography	Доминиканската Република (Шпански: República Dominicana) е земја на Карипските Острови што се протега на источната половина од Островот Хиспањола којшто го дели со Хаити
324	geography	Бурата, лоцирана приближно 3,000 милји од Мајами, Флорида, беше придружена од ветрови со 40 mph (64 kph).
